Country,Year,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y5T9,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y_GE85,Y_LE4
AUS,1950,0.07129494907503638,0.06745570811987235,0.07837431376624647,0.08282489882255126,0.0746573416313106,0.07619792876618534,0.06716226295132478,0.05904361328817538,0.05367601208015944,0.0498245442429726,0.0860405687945517,0.043613288175382396,0.0326335481188942,0.022583051096139974,0.01407314120826048,0.007923019550784354,0.003912602247300916,0.10870920806485138
AUS,1951,0.07192134604652267,0.06511749409264163,0.07624351377987817,0.08256052815939775,0.0758041725542349,0.07611289882090315,0.06772979327214221,0.05870548701568567,0.053172162390016264,0.04857689065153117,0.08856881627224907,0.043340418205350464,0.03261811748221855,0.022881365994989133,0.013868933825712148,0.007931890235938112,0.0038828265077122197,0.11096334469287673
AUS,1952,0.07328200081051352,0.06489897527933769,0.07339778845597175,0.08147976610895617,0.0769061541133561,0.07533144213512419,0.06854628611127193,0.0589011752446014,0.05277600879986105,0.047160307995136916,0.09432061599027383,0.04323510681410293,0.0328257974874081,0.023088056504370985,0.013790308574075146,0.007815666068430498,0.0038325710646674,0.10841197244254037
AUS,1953,0.07423456944176603,0.06504599956893128,0.06976506755300443,0.07987249441312264,0.07811418783251846,0.07353124680952434,0.06906174492076277,0.05956688938550021,0.05230678479461845,0.04649870112191304,0.09856726373464318,0.04272117795196987,0.03346454459859562,0.02319830295055188,0.01400973307771715,0.007668485474118861,0.0039476818712919585,0.10842512449944983
AUS,1954,0.07710454570745007,0.06584320925833194,0.06665553886385134,0.07808379235519947,0.07905191120013354,0.07117342680687698,0.0699716241028209,0.060245924442218886,0.05204473376731764,0.04583541979636121,0.10025037556334501,0.04196294441662494,0.03393979858676904,0.02340176932064764,0.014232459800812329,0.007600289322873198,0.004050520224781617,0.10855171646358426
AUS,1955,0.08029609661184604,0.06667608726371513,0.06444775373109993,0.07612204745806929,0.07940476319879997,0.06985010380773286,0.07043707946998272,0.06059980216746198,0.05157776884028827,0.04570801221778971,0.10216637499048882,0.04095785732143439,0.03409893800884811,0.02356598584736459,0.014543952520190875,0.007532854332206485,0.004087089796406405,0.10792743241627445
AUS,1956,0.08278605909500822,0.06752957402790302,0.06317967216593284,0.07426661715558856,0.07846798578324757,0.07062755291496473,0.06989549626014535,0.06099411171821124,0.05137128003819426,0.04547238873269323,0.10383534030024932,0.04009336374728131,0.034024720173996076,0.023754707973051827,0.014832104397644687,0.007511537849450958,0.004105882977030397,0.1072516046894064
AUS,1957,0.08824505715649053,0.06888861226945499,0.06334930810564096,0.07152341237733657,0.07712495591377773,0.07152341237733657,0.0687952532105143,0.061637725358395054,0.05162755959419929,0.0452376506711479,0.10148129706852554,0.03915893861123213,0.0341175494284351,0.02406589074915458,0.014999688803136865,0.0075102176303396195,0.004035185991991867,0.1066782846828904
AUS,1958,0.09229456230187759,0.06958668617410388,0.06350077216938958,0.0683573112249045,0.0757640412907421,0.07282776558562952,0.0670364951637812,0.06210883524343656,0.052253515402747294,0.0448569454604568,0.10135739250589287,0.03869991059091279,0.033731610176379746,0.024628139478176055,0.01506746322035276,0.007711533772250671,0.0040030886775583195,0.10621393156140779
AUS,1959,0.093781074738475,0.0719939540988823,0.06429736287339406,0.06573923073863411,0.07432083051589038,0.07377391511873035,0.06490394176842608,0.06288532675709001,0.05289169086352969,0.044628296408257426,0.10111968497673124,0.03817469472176922,0.03313312915158506,0.0250188934409928,0.015204248041048486,0.0077960303886082495,0.004017342190048128,0.1063203532079074
AUS,1960,0.09541605839416058,0.07484184914841849,0.06518734793187347,0.06367883211678832,0.07235036496350365,0.07394647201946472,0.06381508515815085,0.06326034063260341,0.05329440389294404,0.04430170316301703,0.10029197080291971,0.038121654501216545,0.03240875912408759,0.025177615571776155,0.015416058394160584,0.008058394160583942,0.004087591240875913,0.10634549878345499
AUS,1961,0.0968481757103976,0.07711120838963857,0.06614834129536933,0.06216097904493634,0.07034506385489428,0.07287642031936964,0.06454007346643574,0.0627319617060962,0.05370091928208447,0.044232123484516855,0.09965550712776688,0.037922765078700446,0.03187034887040597,0.025170818979463657,0.01567347404883805,0.008260215831445919,0.004158657048780952,0.10659294646085914
AUS,1962,0.0946591280781272,0.08216438484182982,0.0669314518013177,0.061922340077566466,0.06762300827064156,0.07140787813653568,0.06543619457034718,0.061782159712162985,0.0543899817765525,0.044624082986776316,0.09921966263258726,0.03784869865894117,0.03127891220036447,0.02542871828419233,0.015980561655997382,0.008401476566515584,0.004289519181346666,0.10661184056819775
AUS,1963,0.0944081269654989,0.08596393108949381,0.06741603938791041,0.062125810266895266,0.06493137371755495,0.07023077134657878,0.06667339023920638,0.06019125507706131,0.05486435192401141,0.045301598070945914,0.09888235887374047,0.03759088283563616,0.0310995791654824,0.025195060007884917,0.016420797843566915,0.008425858859987714,0.004400883844172038,0.10587793048437227
AUS,1964,0.09431196950079125,0.08752337793123291,0.06957631995396346,0.06292260106459502,0.0626348726801899,0.0690278377211912,0.06758919579916559,0.05836390447417638,0.055558552726226444,0.04592864336066753,0.09923032657171629,0.037449647532729106,0.030723996547259387,0.024780607106891096,0.016724212343547692,0.008514961875989066,0.004504747518342685,0.10463422529132499
